Genome	fox29_D_9	fox1_K_18	fox8_K_22	fox16_F_35	fox30_M_16	fox5_K_11	fox10_F_39	fox10_M_40	fox14_D_1	fox8_F_23	fox14_M_4	fox5_M_9	fox24_K_6	fox29_F_11	fox10_K_38	fox30_F_15	Control2	fox22_F_31	fox24_M_8	fox16_K_34	fox8_M_24	fox26_D_41	fox14_K_2	fox24_D_5	fox16_D_33	fox22_D_29	fox1_D_17	fox26_M_44	fox5_D_10	fox30_K_14	fox30_D_13	fox26_F_43	fox26_K_42	fox1_M_20	fox3_F_27	fox3_D_25	fox10_D_37	fox22_K_30	fox29_M_12	fox29_K_10	fox24_F_7	fox8_D_21	fox14_F_3	fox5_F_12	Control1	fox16_M_36	fox3_M_28	fox22_M_32
D_bin_102248	62	1295	655	160619	44242	0	493443	29208	248	277135	420	487	4	55009	250	351730	0	491118	104	0	10839	29	0	76	9	1718	70853	15302	877	0	182	105675	125	425	195718	84	158473	4	421	4	19772	223346	247406	304394	0	121	1704	49891
F_bin_124069	0	6	17	4565	10392	0	3507	505	16	59439	53	42	0	4273	1	114013	0	4145	28	0	1861	2	0	31	0	99	462	2568	42	0	4	44686	8	4	6813	0	729	2	48	0	1903	20343	53356	13651	0	5	129	1198
F_bin_187697	0	4	2	4680	556	0	5267	545	4	15973	18	102	0	10049	0	6283	0	38246	2	2	397	0	0	16	0	726	127	2471	94	0	10	46839	6	4	5126	0	1117	0	56	0	200	4222	18916	34314	0	2	80	10817
F_bin_273937	0	38	20	2118	667	0	11253	619	13	20705	3	14	0	798	8	7467	0	85828	0	0	1038	123	0	3	0	12	584	402	69	0	250	3839	6	8	4274	27	1508	0	5	0	63	12223	3356	10901	0	2	26	8437
F_bin_21719	8	1302	54	32263	1142	0	208930	14159	6	32929	120	2	8	617	88	13011	0	53002	13	0	1583	16	0	15	2	22	55202	28811	13	0	5	348756	240	399	86803	0	73478	4	1	0	2441	28041	125734	1219	0	30	678	3282
F_bin_288044	36	378	92	30771	8020	0	32444	2388	52	41010	20	65	4	1626	28	67854	0	195847	59	0	1569	191	0	75	22	320	7402	533	179	4	318	6560	17	105	2696	0	15424	5	16	0	7857	28320	15636	30564	0	28	108	21489
F_bin_4161	0	459	49	33150	5032	0	39192	3137	10	39542	183	130	0	13822	21	29768	0	244422	7	0	1500	10	2	82	0	308	6980	9636	116	0	8	74639	56	89	5258	0	3146	1	116	2	1376	23472	101880	61880	0	191	69	12061
F_bin_2067	0	8	36	8266	4570	0	2985	500	8	13988	10	137	0	4618	2	12974	0	24164	8	0	467	4	6	98	0	512	217	2690	286	0	4	13162	10	6	9260	0	570	0	69	0	3656	6076	4014	68782	0	61	133	2927
F_bin_111505	0	86	26	5523	9264	0	16436	3718	0	15695	32	232	0	12470	8	37089	0	5751	4	0	540	0	0	26	0	14	688	1331	98	0	5	9572	0	32	13550	0	1348	2	106	0	1670	6135	26044	74491	0	16	175	695
F_bin_6904	0	560	148	12116	22191	2	67967	20372	41	141658	245	651	4	34223	80	58705	0	76531	46	0	5471	0	0	93	0	341	6912	13947	88	0	10	74354	30	142	48916	0	12357	0	366	0	9774	44985	140164	273147	0	47	834	13231
F_bin_145633	0	745	289	6710	29825	0	154145	14753	14	260924	857	545	0	64850	41	103390	0	77871	42	0	11812	18	0	94	0	209	6663	19239	54	0	32	155414	43	190	58276	0	18517	0	669	4	3435	160354	431753	230491	0	34	875	7477
F_bin_261994	14	378	87	2486	5901	8	121594	12366	32	69214	239	90	39	4935	72	32027	0	72493	22	11	3209	33	18	61	23	147	3683	29874	36	18	22	293428	82	101	59768	0	11197	41	71	26	1219	44741	128010	42599	0	28	926	6611
F_bin_281344	0	412	308	21093	1770	0	93929	10587	5	201307	192	55	2	6884	47	7469	0	421029	79	0	9388	6	0	191	4	2009	3913	5853	0	0	18	55198	34	88	129759	0	15000	6	58	0	12097	171182	69383	28397	8	65	1543	39680
F_bin_293276	116	604	135	37341	7416	0	52768	5467	81	165636	339	202	0	21754	35	57918	0	110060	40	0	5764	19	0	34	6	715	7959	6212	354	1	46	132590	28	162	35182	2	22531	4	142	0	9203	127159	193139	106276	0	161	1070	13099
F_bin_137434	0	142	60	4886	3975	0	4813	564	14	53736	19	77	0	9161	2	30126	0	41460	8	0	1374	106	0	47	8	1404	622	465	46	0	274	15718	2	28	3007	1	1380	0	48	0	826	23409	11123	32456	0	100	60	5328
F_bin_141901	8	422	205	22795	6425	0	39088	4643	38	288964	303	86	0	5764	18	47511	0	257380	7	2	8446	4	0	275	0	4661	3582	1846	646	0	47	62311	15	83	17744	17	15731	6	39	0	1796	113334	124137	28452	0	197	574	38778
F_bin_17558	33	171	30	4264	5522	2	5956	1075	24	52745	42	36	2	4382	10	20400	0	60356	12	4	1538	88	0	49	34	632	1251	970	36	14	56	15598	4	36	4290	0	2311	4	25	2	1860	17227	25709	13517	0	44	101	13422
F_bin_226516	4	424	71	21254	3084	0	71110	7586	14	158419	222	66	2	6382	14	28542	0	51414	22	2	4798	16	0	124	0	349	3642	8313	101	0	44	165967	16	120	30671	2	20537	2	122	0	4787	66435	61557	26697	0	109	2580	8121
F_bin_14801	0	35	32	18961	3194	0	38458	2880	6	12940	21	8	0	1965	8	32276	0	115884	10	0	590	2	2	2	4	10	2669	1790	9	0	4	20921	22	10	2835	0	10915	0	6	0	2522	9474	18284	3361	0	11	27	12448
F_bin_232232	2	550	91	9274	16470	0	4683	404	15	132840	150	15	0	762	0	60788	0	4654	4	2	3204	22	3	12	10	42	3906	372	26	1	18	3490	2	198	140970	0	1182	4	3	3	461	53455	63636	4820	0	33	1279	487
D_bin_48063	1	192	279	135348	17000	0	59420	4716	5	116621	129	251	4	8584	12	135710	0	254667	64	0	6552	8	0	14	2	915	8551	8421	78	0	12	66249	94	75	93119	0	24205	4	82	0	8471	131518	117039	165747	0	78	939	25028
F_bin_177620	0	747	96	49104	15723	0	45243	3826	26	123253	265	37	4	21147	16	211943	0	409650	31	2	3312	6	0	176	4	5476	7345	5917	80	0	31	94816	14	153	125936	0	9765	0	199	0	4612	54778	152410	26142	0	433	4314	33601
D_bin_51922	40	2083	775	61647	30571	0	349217	33222	92	733883	996	119	8	101099	167	281943	0	617314	154	12	26408	26	0	535	2	13434	21341	28569	485	0	82	651352	172	519	106327	0	140755	26	960	3	28155	553786	475805	87998	0	690	2640	112480
F_bin_191085	2839	1630	108	2253	7609	0	10385	1590	10286	109138	241	401	2	17843	6	47504	0	21540	14	2	3743	442	26	271	18	1457	9924	2398	31896	0	9215	41981	5	270	22647	1933	3361	0	182	8	1881	98242	85926	177078	0	6	557	2534
D_bin_54794	68	2529	1331	141501	84559	0	353404	44624	167	1149322	1730	933	10	84630	232	505803	0	395140	231	5	46687	43	2	896	38	2787	21720	34852	701	11	118	441398	127	679	177269	0	124531	28	745	11	33816	861771	826049	566529	0	529	2933	51497
F_bin_111964	0	2065	288	60378	11271	0	43383	5758	48	304626	491	887	12	46989	8	90782	0	415101	74	8	10203	2	4	242	0	2189	29482	3247	368	0	36	57110	27	957	356611	0	13309	6	449	4	11121	194945	270607	495042	0	467	5470	38697
F_bin_215398	0	46	146	17794	1335	0	6923	914	4	86185	116	243	6	21128	8	7701	0	79266	45	0	4068	0	0	63	0	559	683	2575	56	0	16	29523	4	10	15785	0	2018	0	194	6	3826	77143	62708	116295	0	115	271	8548
F_bin_257404	70	338	177	64872	21546	0	126400	8827	31	161179	317	126	2	28110	52	211050	0	68672	57	0	5929	26	0	31	1	58	12988	15064	63	0	25	142065	85	122	88491	0	54707	2	108	0	14217	91763	181695	96884	0	53	1013	8483
F_bin_174518	17	35	69	39956	2729	0	42676	3113	100	57254	259	55	0	6072	18	27185	0	158539	158	2	2233	111	0	48	0	78	1243	14126	380	0	1061	137321	57	18	53026	0	11815	6	38	0	22808	36642	155992	39553	0	36	523	16506
F_bin_7203	0	490	63	43627	7131	0	37733	2897	28	70293	239	92	0	13107	7	64355	0	196290	95	0	2501	8	0	22	4	567	19046	9135	22	0	7	93930	50	175	41777	0	10308	0	101	0	9888	35883	186155	62028	0	49	504	19493
F_bin_287985	0	6	108	739	207	0	200556	12190	0	137384	10	6	0	429	84	1746	0	3850	114	0	5036	6	0	10	0	5	205	5615	12	0	16	74296	32	2	1291	0	69899	0	0	0	12440	78962	4188	1466	0	1	10	415
F_bin_299554	2429	432	486	21623	2678	215	60103	4786	1620	74820	368	212	372	8659	252	22028	4	134656	585	261	4464	2567	235	744	926	407	2606	2192	8923	242	2742	19585	356	232	4261	2643	9639	465	238	324	5135	51580	67778	8414	0	374	374	15526
F_bin_131681	16	66	12	7160	1877	0	29562	2014	7	11103	16	13	0	952	0	19723	26	20656	4	0	427	6	0	9	3	4	1796	2299	24	0	3	22845	17	65	18069	2	4857	0	18	0	971	4986	6709	16253	448	5	188	2006
