Genome	fox29_D_9	fox1_K_18	fox8_K_22	fox16_F_35	fox30_M_16	fox5_K_11	fox10_F_39	fox10_M_40	fox14_D_1	fox8_F_23	fox14_M_4	fox5_M_9	fox24_K_6	fox29_F_11	fox10_K_38	fox30_F_15	Control2	fox22_F_31	fox24_M_8	fox16_K_34	fox8_M_24	fox26_D_41	fox14_K_2	fox24_D_5	fox16_D_33	fox22_D_29	fox1_D_17	fox26_M_44	fox5_D_10	fox30_K_14	fox30_D_13	fox26_F_43	fox26_K_42	fox1_M_20	fox3_F_27	fox3_D_25	fox10_D_37	fox22_K_30	fox29_M_12	fox29_K_10	fox24_F_7	fox8_D_21	fox14_F_3	fox5_F_12	Control1	fox16_M_36	fox3_M_28	fox22_M_32
F_bin_281344	0	29762	26684	958835	149136	0	2241476	826161	368	2252141	15906	4470	200	489443	3562	484697	0	2319869	7101	0	740839	509	0	10899	199	95838	270717	463987	0	0	844	1936206	2114	7810	2273437	0	960550	580	5588	0	930344	2217077	2078880	1426322	132	6978	138195	1785591
F_bin_293276	347	46240	11729	1396088	454127	0	1860383	409807	1527	2691806	30701	17358	0	1189468	2882	1938641	0	2367126	4602	0	451780	967	0	1611	204	31459	378041	403232	1163	133	571	2626359	3307	14776	1418994	105	1261841	108	13800	0	701876	2484198	2723740	2439732	0	16036	93066	736412
F_bin_137434	0	10018	4103	268122	342223	0	349670	52195	66	1994172	1661	6264	0	725704	300	1618639	0	1806034	1027	0	135671	247	0	2107	300	76368	43339	38657	369	0	3130	1039297	300	2519	233104	65	106374	0	4733	0	81593	1143763	777536	1643830	0	9948	6326	427998
F_bin_141901	91	30938	18065	1000943	535935	0	1842110	410762	1643	2624383	28855	7167	0	470450	2231	2078022	0	2642436	823	207	697386	220	0	10548	0	263557	253575	164469	4774	0	1984	2262886	1562	7471	1058735	122	1036393	352	3727	0	157338	2414712	2488666	1503272	0	18126	52500	1879097
F_bin_17558	108	12476	2572	235281	476805	109	455842	103036	217	2112813	4520	2832	98	387751	334	1353205	0	2199562	1145	102	144754	123	0	1332	116	33436	83227	83615	267	115	401	985387	106	2924	328282	0	182969	382	2027	85	176183	943780	1468102	983443	0	4105	10779	955002
F_bin_226516	164	32742	5600	931692	267038	0	2088678	643489	502	2374936	20384	6861	140	527217	1694	1605333	0	1959640	2121	222	430414	797	0	5138	0	21557	255524	643953	424	0	228	2393345	1537	12147	1561024	59	1215088	233	11372	0	429246	2009990	2017333	1468887	0	10977	228159	631058
F_bin_14801	0	3072	2548	898599	285557	0	1746139	270130	292	895399	1809	933	0	178090	530	1633493	0	2204253	853	0	58917	75	129	141	129	447	196158	159018	164	0	65	1263758	1766	986	225324	0	781520	0	695	0	238555	582783	1107399	280136	0	1317	2646	888558
F_bin_232232	117	42499	7865	467634	1127099	0	122878	23970	612	2284797	14012	1217	0	23617	0	2184517	0	55506	292	115	288199	775	150	666	461	1887	264483	16647	353	150	592	71599	262	18537	2416229	0	44318	123	450	397	23313	1810151	2100510	73188	0	3023	116172	15535
D_bin_48063	150	14653	26732	1727899	1033298	0	1660530	403452	345	1799401	12418	22225	474	630260	1630	1752558	0	1778996	6786	0	537576	600	0	393	161	66187	531044	621094	546	0	441	1724280	6951	6694	1712049	0	1207930	300	8966	0	665359	1803777	1732194	1775672	0	7886	86795	1244553
F_bin_177620	0	55697	8650	1689483	1081871	0	1925364	325346	751	2536986	23218	3455	300	1341565	1367	2614017	0	2673839	2731	300	296732	600	0	8854	156	260577	406597	444968	984	0	1722	2495762	955	13165	2433894	0	619369	0	18773	0	413681	1881813	2615931	1315470	0	41046	381551	1760778
D_bin_51922	137	159400	71218	1876242	1672609	0	2544066	1782617	3373	2612295	92033	10162	953	2420301	13471	2542321	0	2543787	15209	1210	1609278	1926	0	23080	300	622577	1113058	1611969	3450	0	4728	2559088	15233	47472	2409573	0	2497316	1566	92748	276	1641062	2607147	2534413	2009253	0	64794	238434	2405522
