"kegg","n_mags_human","n_mags_wild","n_mags_NA","absent_human","absent_wild","absent_NA","p_value","odds_ratio","conf_low","conf_high","log_or","log2_or","se_log_or","se_log2_or","p_adj","prop_g1","prop_g2","diff_prop","species","contrast","n_mags_domestic","absent_domestic","neg_log10_padj","sig","ko","pathway_map","pathway_name","class","category"
"K00059",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00067",41,40,28,0,2,NA,0.493975903614458,0,0,5.43480328653554,-Inf,-Inf,Inf,Inf,1,0.952380952380952,1,0.0476190476190477,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00075",41,42,27,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00077",41,39,16,0,3,NA,0.240963855421687,0,0,2.44429310165021,-Inf,-Inf,Inf,Inf,1,0.928571428571429,1,0.0714285714285714,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,"ko:K00077","path:map00770","Pantothenate and CoA biosynthesis","Metabolism; Metabolism of cofactors and vitamins","Metabolism"
"K00078",29,15,2,12,27,NA,0.00200317646719455,0.234368081142622,0.0821793852865274,0.633035432781707,-1.45086240315135,-2.09315199403869,0.520821916631331,0.751387196310307,0.0624225137350771,0.357142857142857,0.707317073170732,0.350174216027875,"lactococcus_lactis","HumanvsWild",NA,NA,1.20465874641578,FALSE,"ko:K00078","path:map00040","Pentose and glucuronate interconversions","Metabolism; Carbohydrate metabolism","Metabolism"
"K00079",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00088",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00091",10,2,2,31,40,NA,0.0133444476710379,0.158230742807934,0.0157464287240244,0.820606916829247,-1.84370091377996,-2.6598981651928,1.00852821864365,1.45499865963378,0.289901947917021,0.0476190476190476,0.24390243902439,0.196283391405343,"lactococcus_lactis","HumanvsWild",NA,NA,0.537748866511952,FALSE,NA,NA,NA,NA,NA
"K00105",39,37,13,2,5,NA,0.432610893644903,0.383729336480058,0.0345198115407409,2.52220839431078,-0.957817827836532,-1.3818390302948,1.09473386145623,1.57936711301612,1,0.880952380952381,0.951219512195122,0.070267131242741,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,"ko:K00105","path:map00564","Glycerophospholipid metabolism","Metabolism; Lipid metabolism","Metabolism"
"K00111",2,0,0,39,0,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,NA,0.0487804878048781,NA,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00133",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00134",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00145",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00147",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,"ko:K00147","path:map00330","Arginine and proline metabolism","Metabolism; Amino acid metabolism","Metabolism"
"K00158",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00166",41,40,28,0,2,NA,0.493975903614458,0,0,5.43480328653554,-Inf,-Inf,Inf,Inf,1,0.952380952380952,1,0.0476190476190477,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00167",41,39,28,0,3,NA,0.240963855421687,0,0,2.44429310165021,-Inf,-Inf,Inf,Inf,1,0.928571428571429,1,0.0714285714285714,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00208",41,41,28,0,1,NA,1,0,0,39.9518114534888,-Inf,-Inf,Inf,Inf,1,0.976190476190476,1,0.0238095238095238,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00215",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00226",41,42,26,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00230",38,41,28,3,1,NA,0.359660865684962,3.19471376086211,0.244477508263144,173.82417091415,1.16149749410158,1.67568667474531,1.67517251055047,2.41676307360467,1,0.976190476190476,0.926829268292683,-0.0493612078977932,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00243",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00262",1,0,0,40,0,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,NA,0.024390243902439,NA,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00264",41,41,25,0,1,NA,1,0,0,39.9518114534888,-Inf,-Inf,Inf,Inf,1,0.976190476190476,1,0.0238095238095238,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00265",41,41,26,0,1,NA,1,0,0,39.9518114534888,-Inf,-Inf,Inf,Inf,1,0.976190476190476,1,0.0238095238095238,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,"ko:K00265","path:map00250","Alanine, aspartate and glutamate metabolism","Metabolism; Amino acid metabolism","Metabolism"
"K00286",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00287",41,42,24,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00297",41,40,19,0,2,NA,0.493975903614458,0,0,5.43480328653554,-Inf,-Inf,Inf,Inf,1,0.952380952380952,1,0.0476190476190477,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,"ko:K00297","path:map00670","One carbon pool by folate","Metabolism; Metabolism of cofactors and vitamins","Metabolism"
"K00298",39,37,17,2,5,NA,0.432610893644903,0.383729336480058,0.0345198115407409,2.52220839431078,-0.957817827836532,-1.3818390302948,1.09473386145623,1.57936711301612,1,0.880952380952381,0.951219512195122,0.070267131242741,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00344",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00355",2,6,0,39,36,0,0.264604768646251,3.20700550713853,0.529401720012574,34.4776346485301,1.16533763793391,1.6812268312085,1.06538739361512,1.53702910939414,1,0.142857142857143,0.0487804878048781,-0.0940766550522648,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,"ko:K00355","path:map00130","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism; Metabolism of cofactors and vitamins","Metabolism"
"K00364",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00375",4,16,1,37,26,NA,0.00407689379621343,5.5744293465288,1.55947835193667,25.5778013102688,1.71818995274007,2.47882412412335,0.71361567944673,1.02952980183841,0.118341615810634,0.380952380952381,0.0975609756097561,-0.283391405342625,"lactococcus_lactis","HumanvsWild",NA,NA,0.926862505256309,FALSE,NA,NA,NA,NA,NA
"K00382",41,39,28,0,3,NA,0.240963855421687,0,0,2.44429310165021,-Inf,-Inf,Inf,Inf,1,0.928571428571429,1,0.0714285714285714,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00383",41,41,28,0,1,NA,1,0,0,39.9518114534888,-Inf,-Inf,Inf,Inf,1,0.976190476190476,1,0.0238095238095238,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00384",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00390",41,42,24,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00425",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00426",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00433",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00435",1,0,0,40,0,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,NA,0.024390243902439,NA,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00525",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00526",41,42,27,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00537",41,41,28,0,1,NA,1,0,0,39.9518114534888,-Inf,-Inf,Inf,Inf,1,0.976190476190476,1,0.0238095238095238,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00549",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,"ko:K00549","path:map00270","Cysteine and methionine metabolism","Metabolism; Amino acid metabolism","Metabolism"
"K00554",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00558",18,20,27,23,22,NA,0.826665695737801,1.15951603469336,0.448706730929325,3.01226470120943,0.148002706590108,0.213522770835693,0.48573417179586,0.700766280840195,1,0.476190476190476,0.439024390243902,-0.0371660859465737,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,"ko:K00558","path:map00270","Cysteine and methionine metabolism","Metabolism; Amino acid metabolism","Metabolism"
"K00560",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00561",1,0,0,40,0,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,NA,0.024390243902439,NA,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00563",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00564",41,42,27,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00566",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00567",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
