"kegg","n_mags_human","n_mags_wild","n_mags_NA","absent_human","absent_wild","absent_NA","p_value","odds_ratio","conf_low","conf_high","log_or","log2_or","se_log_or","se_log2_or","p_adj","prop_g1","prop_g2","diff_prop","species","contrast","n_mags_domestic","absent_domestic","neg_log10_padj","sig","ko","pathway_map","pathway_name","class","category"
"K25499",NA,5,12,NA,37,NA,6.93231386277086e-06,0.0787889409639949,0.0180330377729155,0.286264202309619,-2.54098263506383,-3.66586304659156,0.705283076866085,1.01750839741761,0.000319338545113293,0.119047619047619,0.642857142857143,0.523809523809524,"lactococcus_lactis","WildvsDomestic",18,10,3.49574865765947,TRUE,"ko:K25499","path:map00860","Porphyrin metabolism","Metabolism; Metabolism of cofactors and vitamins","Metabolism"
"K25503",NA,0,4,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,NA,0.0714285714285714,NA,"lactococcus_lactis","WildvsDomestic",2,26,0,FALSE,NA,NA,NA,NA,NA
"K25598",NA,42,41,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","WildvsDomestic",28,0,0,FALSE,NA,NA,NA,NA,NA
"K25619",NA,42,41,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","WildvsDomestic",28,0,0,FALSE,NA,NA,NA,NA,NA
"K25641",NA,42,41,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","WildvsDomestic",28,0,0,FALSE,NA,NA,NA,NA,NA
"K25670",NA,7,7,NA,35,NA,1.07670473225098e-10,0.0169740931808454,0.00162033589593385,0.0900608819764054,-4.07606702782763,-5.88052168737793,1.02496235640658,1.47870810868564,2.53504147515536e-08,0.166666666666667,0.928571428571429,0.761904761904762,"lactococcus_lactis","WildvsDomestic",26,2,7.59601493089326,TRUE,NA,NA,NA,NA,NA
"K25671",NA,7,7,NA,35,NA,0.0269031698349371,0.272228713643749,0.0750758100038716,0.913867276266807,-1.30111270702564,-1.8771088500635,0.637547690274083,0.919786891088632,0.390464499179669,0.166666666666667,0.428571428571429,0.261904761904762,"lactococcus_lactis","WildvsDomestic",12,16,0.408418445810345,FALSE,NA,NA,NA,NA,NA
"K25672",NA,0,1,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,NA,0.0357142857142857,NA,"lactococcus_lactis","WildvsDomestic",1,27,0,FALSE,NA,NA,NA,NA,NA
"K25706",NA,42,41,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","WildvsDomestic",28,0,0,FALSE,NA,NA,NA,NA,NA
"K25903",NA,1,11,NA,41,NA,0.00559701492537312,0.0758259684357994,0.00159151680341142,0.651795941176671,-2.57931445350357,-3.72116417096283,1.5344500034127,2.21374341041556,0.114039179104477,0.0238095238095238,0.25,0.226190476190476,"lactococcus_lactis","WildvsDomestic",7,21,0.942945917561094,FALSE,NA,NA,NA,NA,NA
"K25904",NA,1,11,NA,41,NA,0.00559701492537312,0.0758259684357994,0.00159151680341142,0.651795941176671,-2.57931445350357,-3.72116417096283,1.5344500034127,2.21374341041556,0.114039179104477,0.0238095238095238,0.25,0.226190476190476,"lactococcus_lactis","WildvsDomestic",7,21,0.942945917561094,FALSE,NA,NA,NA,NA,NA
"K26032",NA,42,40,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","WildvsDomestic",28,0,0,FALSE,NA,NA,NA,NA,NA
"K26057",NA,42,41,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","WildvsDomestic",28,0,0,FALSE,NA,NA,NA,NA,NA
"K26212",NA,42,41,NA,0,NA,0.156521739130435,Inf,0.284829481453857,Inf,Inf,Inf,Inf,Inf,1,1,0.928571428571429,-0.0714285714285714,"lactococcus_lactis","WildvsDomestic",26,2,0,FALSE,NA,NA,NA,NA,NA
"K26318",NA,41,41,NA,1,NA,1,1.50919003466995,0.0186684095741582,121.943038643192,0.411573106031584,0.593774479035033,2.24093789555244,3.23298998885365,1,0.976190476190476,0.964285714285714,-0.0119047619047619,"lactococcus_lactis","WildvsDomestic",27,1,0,FALSE,NA,NA,NA,NA,NA
"K26355",NA,42,41,NA,0,NA,0.4,Inf,0.0384613037109369,Inf,Inf,Inf,Inf,Inf,1,1,0.964285714285714,-0.0357142857142857,"lactococcus_lactis","WildvsDomestic",27,1,0,FALSE,NA,NA,NA,NA,NA
"K26605",NA,42,41,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","WildvsDomestic",28,0,0,FALSE,NA,NA,NA,NA,NA
"K26606",NA,40,41,NA,2,NA,1,0.743819252422913,0.0121189737940819,14.9557067958742,-0.295957213955601,-0.42697600488906,1.81583569511622,2.61969715241334,1,0.952380952380952,0.964285714285714,0.011904761904762,"lactococcus_lactis","WildvsDomestic",27,1,0,FALSE,NA,NA,NA,NA,NA
"K26730",NA,42,41,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","WildvsDomestic",28,0,0,FALSE,NA,NA,NA,NA,NA
"K26739",NA,42,41,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","WildvsDomestic",28,0,0,FALSE,NA,NA,NA,NA,NA
"K26742",NA,42,41,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","WildvsDomestic",28,0,0,FALSE,NA,NA,NA,NA,NA
"K26817",NA,42,41,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","WildvsDomestic",28,0,0,FALSE,NA,NA,NA,NA,NA
"K26828",NA,42,41,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","WildvsDomestic",28,0,0,FALSE,NA,NA,NA,NA,NA
"K26865",NA,6,13,NA,36,NA,7.56385263682234e-08,0.0485267695360639,0.0107252283409679,0.181871673828404,-3.02563968410944,-4.36507536778153,0.722118008777868,1.04179607020044,6.96861032062023e-06,0.142857142857143,0.785714285714286,0.642857142857143,"lactococcus_lactis","WildvsDomestic",22,6,5.15685382021766,TRUE,NA,NA,NA,NA,NA
"K26937",NA,42,41,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","WildvsDomestic",28,0,0,FALSE,NA,NA,NA,NA,NA
"K27086",NA,10,1,NA,32,NA,0.0405211937367456,8.2422904417144,1.05173943599435,378.751842189127,2.1092782715234,3.04304530218166,1.50164179118795,2.16641116533848,0.523563472732706,0.238095238095238,0.0357142857142857,-0.202380952380952,"lactococcus_lactis","WildvsDomestic",1,27,0.281030660333632,FALSE,NA,NA,NA,NA,NA
"K27343",NA,42,41,NA,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","WildvsDomestic",28,0,0,FALSE,NA,NA,NA,NA,NA
"K27601",NA,36,37,NA,6,NA,1,1,0.187004555834843,4.74355818159175,0,0,0.824849445149822,1.19000620399766,1,0.857142857142857,0.857142857142857,0,"lactococcus_lactis","WildvsDomestic",24,4,0,FALSE,NA,NA,NA,NA,NA
"K00012",NA,12,10,NA,30,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.285714285714286,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00018",NA,1,6,NA,41,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00027",NA,5,1,NA,37,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.119047619047619,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00034",NA,8,1,NA,34,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.19047619047619,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00041",NA,2,2,NA,40,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0476190476190476,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K00041","path:map00040","Pentose and glucuronate interconversions","Metabolism; Carbohydrate metabolism","Metabolism"
"K00354",NA,2,0,NA,40,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0476190476190476,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00355",NA,6,2,NA,36,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.142857142857143,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K00355","path:map00130","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism; Metabolism of cofactors and vitamins","Metabolism"
"K00441",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K00441","path:map00680","Methane metabolism","Metabolism; Energy metabolism","Metabolism"
"K00571",NA,5,6,NA,37,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.119047619047619,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00627",NA,3,19,NA,39,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0714285714285714,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K00627","path:map00010","Glycolysis / Gluconeogenesis","Metabolism; Carbohydrate metabolism","Metabolism"
"K00632",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00666",NA,4,0,NA,38,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0952380952380952,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00675",NA,1,1,NA,41,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00677",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00689",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00694",NA,13,16,NA,29,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.30952380952381,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00710",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00713",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00752",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00800",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00940",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00970",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K00971",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01046",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01053",NA,3,0,NA,39,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0714285714285714,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01133",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01152",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01185",NA,13,4,NA,29,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.30952380952381,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01193",NA,22,38,NA,20,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.523809523809524,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K01193","path:map00052","Galactose metabolism","Metabolism; Carbohydrate metabolism","Metabolism"
"K01200",NA,1,1,NA,41,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01210",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01226",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01240",NA,3,0,NA,39,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0714285714285714,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01318",NA,9,14,NA,33,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.214285714285714,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K01318","path:map02024","Quorum sensing","Cellular Processes; Cellular community - prokaryotes","Cellular Processes"
"K01342",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01354",NA,2,0,NA,40,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0476190476190476,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01355",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01442",NA,2,0,NA,40,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0476190476190476,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01480",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K01480","path:map00330","Arginine and proline metabolism","Metabolism; Amino acid metabolism","Metabolism"
"K01496",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01643",NA,5,1,NA,37,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.119047619047619,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01644",NA,5,1,NA,37,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.119047619047619,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01646",NA,5,1,NA,37,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.119047619047619,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01685",NA,1,2,NA,41,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01711",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01737",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01759",NA,10,13,NA,32,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K01759","path:map00620","Pyruvate metabolism","Metabolism; Carbohydrate metabolism","Metabolism"
"K01778",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K01778","path:map00300","Lysine biosynthesis","Metabolism; Amino acid metabolism","Metabolism"
"K01784",NA,1,2,NA,41,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K01784","path:map00052","Galactose metabolism","Metabolism; Carbohydrate metabolism","Metabolism"
"K01840",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01910",NA,5,1,NA,37,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.119047619047619,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K01912",NA,2,0,NA,40,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0476190476190476,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02014",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02022",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02025",NA,16,5,NA,26,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.380952380952381,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02026",NA,16,5,NA,26,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.380952380952381,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02027",NA,16,5,NA,26,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.380952380952381,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02032",NA,3,3,NA,39,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0714285714285714,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02169",NA,2,0,NA,40,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0476190476190476,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02334",NA,5,0,NA,37,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.119047619047619,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02352",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02377",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02399",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02439",NA,2,16,NA,40,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0476190476190476,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K02439","path:map00920","Sulfur metabolism","Metabolism; Energy metabolism","Metabolism"
"K02450",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02479",NA,4,0,NA,38,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0952380952380952,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02482",NA,3,0,NA,39,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0714285714285714,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02525",NA,1,2,NA,41,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02532",NA,18,18,NA,24,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.428571428571429,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02538",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02622",NA,2,0,NA,40,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0476190476190476,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02768",NA,5,19,NA,37,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.119047619047619,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K02768","path:map00051","Fructose and mannose metabolism","Metabolism; Carbohydrate metabolism","Metabolism"
"K02769",NA,4,19,NA,38,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0952380952380952,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K02769","path:map00051","Fructose and mannose metabolism","Metabolism; Carbohydrate metabolism","Metabolism"
"K02773",NA,1,1,NA,41,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K02773","path:map00052","Galactose metabolism","Metabolism; Carbohydrate metabolism","Metabolism"
"K02774",NA,1,1,NA,41,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K02774","path:map00052","Galactose metabolism","Metabolism; Carbohydrate metabolism","Metabolism"
"K02775",NA,1,1,NA,41,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K02775","path:map00052","Galactose metabolism","Metabolism; Carbohydrate metabolism","Metabolism"
"K02821",NA,2,0,NA,40,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0476190476190476,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02831",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02841",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02847",NA,2,8,NA,40,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0476190476190476,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K02847","path:map00540","Lipopolysaccharide biosynthesis","Metabolism; Glycan biosynthesis and metabolism","Metabolism"
"K02848",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02850",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K02919",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,"ko:K02919","path:map03010","Ribosome","Genetic Information Processing; Translation","Genetic Information Processing"
"K03152",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K03201",NA,1,2,NA,41,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K03206",NA,2,1,NA,40,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0476190476190476,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
"K03207",NA,1,0,NA,41,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,0.0238095238095238,NA,NA,"lactococcus_lactis","WildvsDomestic",0,0,0,FALSE,NA,NA,NA,NA,NA
