effect,component,term,estimate,std.error,statistic,p.value
fixed,cond,(Intercept),-0.07448187192038379,0.3875156453867763,-0.19220352212113662,0.8475827870868488
fixed,cond,host_type_2domestic,-0.1272210348346277,0.07600933154768398,-1.6737554750736938,0.09417866619355736
fixed,cond,host_type_2wild,-0.13955501428548395,0.06293277276490504,-2.2175252758497224,0.026587217794951625
fixed,cond,completeness,0.017591371312945907,0.0026779722507022127,6.568914710872426,5.0683302589341106e-11
