effect,component,term,estimate,std.error,statistic,p.value,species,annotation,logOR,SE,OR,CI_low,CI_high,p_adj
fixed,cond,host_type_2domestic,0.6211375820880591,0.6703791274429484,0.9265467205956829,0.35416192880809766,lactococcus_lactis,K00980,0.6211375820880591,0.6703791274429484,1.8610439283588562,0.5001708656183228,6.924602653534656,0.5845029532604212
fixed,cond,host_type_2domestic,-1.4428757676584227,0.6970273631347941,-2.07004178597705,0.03844843156513847,lactococcus_lactis,K01153,-1.4428757676584227,0.6970273631347941,0.23624738825884142,0.06026225050459314,0.9261656840192144,0.14628976249954026
fixed,cond,host_type_2domestic,0.6552078180314531,0.7276891872338372,0.9003951543131933,0.36790999861976414,lactococcus_lactis,K01154,0.6552078180314531,0.7276891872338372,1.9255426382793197,0.46252115203446026,8.01631327675029,0.5912265480003197
fixed,cond,host_type_2domestic,92.23051231907976,NA,NA,NA,lactococcus_lactis,K03427,92.23051231907976,NA,11355403299908813e24,NA,NA,NA
fixed,cond,host_type_2domestic,-0.17226945112339187,1.1301088795646954,-0.15243615393036114,0.878842943548609,lactococcus_lactis,K03741,-0.17226945112339187,1.1301088795646954,0.8417523314971611,0.0918789935603574,7.711740846567348,0.9625422715056196
fixed,cond,host_type_2domestic,-1.3032699375180854,1.081389594099367,-1.205180764295694,0.22813352651927335,lactococcus_lactis,K03892,-1.3032699375180854,1.081389594099367,0.2716420865341963,0.032621178902766716,2.262009702242657,0.4618972085015275
fixed,cond,host_type_2domestic,-0.6120239257826963,0.6781045864522939,-0.902550930948103,0.36676427910841186,lactococcus_lactis,K04095,-0.6120239257826963,0.6781045864522939,0.54225227934857545,0.14354468260251818,2.0484042259714275,0.5912265480003197
fixed,cond,host_type_2domestic,-0.1993576095049717,0.8170390440804455,-0.24400010127954544,0.8072307414789022,lactococcus_lactis,K06075,-0.1993576095049717,0.8170390440804455,0.8192568668989131,0.16517427738796886,4.063476617394372,0.9271398576750051
fixed,cond,host_type_2domestic,78.24445634980141,NA,NA,NA,lactococcus_lactis,K06223,78.24445634980141,NA,95749305425431e20,NA,NA,NA
fixed,cond,host_type_2domestic,-4.037362685043722,1.0886973851100743,-3.7084342630578826,2.085447836255294e-4,lactococcus_lactis,K06909,-4.037362685043722,1.0886973851100743,0.017643943745648993,0.0020887080545514006,0.14904368766198248,0.0033367165380084702
fixed,cond,host_type_2domestic,0.9876139601522788,0.6622728550552428,1.4912493432482568,0.13589604319211315,lactococcus_lactis,K07455,0.9876139601522788,0.6622728550552428,2.6848207344186967,0.733123697838021,9.832259408912423,0.32973455567961646
fixed,cond,host_type_2domestic,-0.15235318718879434,0.6757755203013461,-0.22544940237085836,0.821629683160475,lactococcus_lactis,K07741,-0.15235318718879434,0.6757755203013461,0.8586849506543447,0.22835057826780905,3.2289817265779104,0.9352191923634942
fixed,cond,host_type_2domestic,-0.23297480200400003,1.0921769634851515,-0.21331232006631443,0.8310833646680907,lactococcus_lactis,K08217,-0.23297480200400003,1.0921769634851515,0.7921735344583778,0.09314092125164487,6.737520954949714,0.9381554545946545
fixed,cond,host_type_2domestic,-1.063298784388568,0.7137551816864126,-1.4897247847311976,0.13629661501032683,lactococcus_lactis,K12063,-1.063298784388568,0.7137551816864126,0.34531481030284517,0.08524217631219541,1.3988652492607727,0.32973455567961646
fixed,cond,host_type_2domestic,-1.3347115222271029,1.0795612425067953,-1.2363462763148443,0.21632987659032174,lactococcus_lactis,K20283,-1.3347115222271029,1.0795612425067953,0.263234101691393,0.03172495900629059,2.184153879585314,0.44474522114658327
fixed,cond,host_type_2domestic,2.136291360679612,1.3245589342208826,1.6128322458797937,0.10678095842011845,lactococcus_lactis,K20331,2.136291360679612,1.3245589342208826,8.467974658760337,0.6313820384818373,113.57085005748068,0.28682768393141306
fixed,cond,host_type_2domestic,2.4227861866145877,0.8182324497481108,2.960999881342315,0.003066420572509278,lactococcus_lactis,K00558,2.4227861866145877,0.8182324497481108,11.277236068021598,2.268345214152636,56.06556380413867,0.028934430017523445
fixed,cond,host_type_2domestic,1.6586040966094258,0.7026385442423241,2.360536737132671,0.018248510768045772,lactococcus_lactis,K01160,1.6586040966094258,0.7026385442423241,5.251974476228957,1.325026620121982,20.817118297910966,0.09199249263891567
fixed,cond,host_type_2domestic,-0.4053053228366826,0.7350568932311408,-0.5513931323806158,0.5813642074891505,lactococcus_lactis,K07483,-0.4053053228366826,0.7350568932311408,0.6667731986918854,0.157864717105999,2.816249929965598,0.7640786727000264
fixed,cond,host_type_2domestic,0.8758333722183169,0.7326360862495703,1.1954548631391968,0.23190936135469206,lactococcus_lactis,K07497,0.8758333722183169,0.7326360862495703,2.400875283244296,0.5711328942972903,10.09257597180693,0.4638187227093841
fixed,cond,host_type_2domestic,1.8771295928100684,0.7210844483194899,2.603203545971319,0.009235710293337062,lactococcus_lactis,K22299,1.8771295928100684,0.7210844483194899,6.534720606843593,1.5901113959180826,26.855082932633866,0.06174353276082484
fixed,cond,host_type_2domestic,106.21647550107514,NA,NA,NA,lactococcus_lactis,K02315,106.21647550107514,NA,13465708144041246e30,NA,NA,NA
fixed,cond,host_type_2domestic,-2.8843670111984028,1.1078811660154897,-2.6034985517192872,0.009227765751215328,lactococcus_lactis,K03205,-2.8843670111984028,1.1078811660154897,0.055890156184942134,0.006372177082542568,0.49021072671301713,0.06174353276082484
