reference,querry,ani,alignment_coverage,primary_cluster
EHM013411.fna,EHM013411.fna,1.0,0.9968866749688667,1
EHM013411.fna,EHM015951.fna,0.956627,0.8231631382316313,1
EHM013411.fna,EHM019781.fna,0.9873069999999999,0.8623910336239103,1
EHM013411.fna,EHM025129.fna,0.999927,0.9887920298879203,1
EHM013411.fna,EHM034518.fna,0.989397,0.864881693648817,1
EHM013411.fna,EHM034582.fna,0.9894329999999999,0.8679950186799502,1
EHM013411.fna,EHM034613.fna,0.989688,0.8561643835616438,1
EHM013411.fna,EHM034663.fna,0.9883419999999999,0.8698630136986302,1
EHM013411.fna,EHM035016.fna,0.989725,0.8318804483188045,1
EHM013411.fna,EHM035261.fna,0.989112,0.861145703611457,1
EHM013411.fna,EHM036445.fna,0.990598,0.8156911581569116,1
EHM013411.fna,EHM042511.fna,0.9902880000000001,0.8480697384806973,1
EHM013411.fna,EHM042896.fna,0.954202,0.7590286425902865,1
EHM013411.fna,EHM045471.fna,0.98925,0.8698630136986302,1
EHM013411.fna,EHM045496.fna,0.985765,0.6643835616438356,1
EHM013411.fna,EHM051482.fna,0.9891179999999999,0.836239103362391,1
EHM013411.fna,EHM052369.fna,0.98996,0.8057285180572852,1
EHM013411.fna,EHM052762.fna,0.9556279999999999,0.8206724782067247,1
EHM013411.fna,EHM053163.fna,0.990158,0.8387297633872977,1
EHM013411.fna,EHM054246.fna,0.9886579999999999,0.8711083437110835,1
EHM013411.fna,EHM056851.fna,0.986381,0.8001245330012453,1
EHM013411.fna,EHM058631.fna,0.988633,0.864881693648817,1
EHM013411.fna,EHM058684.fna,0.985876,0.7627646326276464,1
EHM013411.fna,EHM060603.fna,0.988198,0.838107098381071,1
EHM013411.fna,EHM060845.fna,0.988398,0.8561643835616438,1
EHM013411.fna,EHM064053.fna,0.989204,0.8125778331257784,1
EHM013411.fna,EHM071561.fna,0.986427,0.7995018679950187,1
EHM013411.fna,GCA_001559255.2.fna,0.990233,0.861145703611457,1
EHM013411.fna,GCA_023096345.1.fna,0.98661,0.773972602739726,1
EHM013411.fna,GCA_030843585.1.fna,0.9884860000000001,0.8462017434620175,1
EHM013411.fna,GCA_937943035.1.fna,0.9882170000000001,0.8505603985056039,1
EHM013411.fna,GCA_958410475.1.fna,0.989599,0.8287671232876712,1
EHM013411.fna,GCA_959018365.1.fna,0.99056,0.815068493150685,1
EHM013411.fna,GCA_959028575.1.fna,0.989338,0.8530510585305106,1
EHM013411.fna,GCA_959599705.1.fna,0.990904,0.848692403486924,1
EHM013411.fna,GCF_001559255.2.fna,0.990233,0.861145703611457,1
EHM013411.fna,GCF_023096345.1.fna,0.98661,0.773972602739726,1
EHM013411.fna,GCF_030843585.1.fna,0.9884860000000001,0.8462017434620175,1
EHM013411.fna,GCF_937943035.1.fna,0.9882170000000001,0.8505603985056039,1
EHM013411.fna,GCF_958410475.1.fna,0.989599,0.8287671232876712,1
EHM013411.fna,GCF_959018365.1.fna,0.99056,0.815068493150685,1
EHM013411.fna,GCF_959028575.1.fna,0.989338,0.8530510585305106,1
EHM013411.fna,GCF_959599705.1.fna,0.990904,0.848692403486924,1
EHM015951.fna,EHM013411.fna,0.956547,0.8794701986754967,1
EHM015951.fna,EHM015951.fna,1.0,0.9966887417218543,1
EHM015951.fna,EHM019781.fna,0.956725,0.8728476821192053,1
EHM015951.fna,EHM025129.fna,0.956545,0.8821192052980132,1
EHM015951.fna,EHM034518.fna,0.957997,0.876158940397351,1
EHM015951.fna,EHM034582.fna,0.956682,0.8801324503311259,1
EHM015951.fna,EHM034613.fna,0.956985,0.8834437086092716,1
EHM015951.fna,EHM034663.fna,0.9568099999999999,0.8841059602649006,1
EHM015951.fna,EHM035016.fna,0.9571299999999999,0.8549668874172185,1
EHM015951.fna,EHM035261.fna,0.9570310000000001,0.8788079470198675,1
EHM015951.fna,EHM036445.fna,0.957385,0.8397350993377484,1
EHM015951.fna,EHM042511.fna,0.956579,0.8807947019867549,1
EHM015951.fna,EHM042896.fna,0.982639,0.8655629139072848,1
EHM015951.fna,EHM045471.fna,0.956749,0.8860927152317881,1
EHM015951.fna,EHM045496.fna,0.955111,0.6701986754966888,1
EHM015951.fna,EHM051482.fna,0.956576,0.856953642384106,1
EHM015951.fna,EHM052369.fna,0.955996,0.8357615894039735,1
EHM015951.fna,EHM052762.fna,0.984492,0.9198675496688742,1
EHM015951.fna,EHM053163.fna,0.9570069999999999,0.8543046357615894,1
EHM015951.fna,EHM054246.fna,0.9568770000000001,0.8788079470198675,1
EHM015951.fna,EHM056851.fna,0.9556319999999999,0.7841059602649006,1
EHM015951.fna,EHM058631.fna,0.957503,0.8794701986754967,1
EHM015951.fna,EHM058684.fna,0.9560150000000001,0.7602649006622516,1
EHM015951.fna,EHM060603.fna,0.95742,0.8576158940397351,1
EHM015951.fna,EHM060845.fna,0.957851,0.866887417218543,1
EHM015951.fna,EHM064053.fna,0.956342,0.8350993377483443,1
EHM015951.fna,EHM071561.fna,0.955454,0.7847682119205298,1
EHM015951.fna,GCA_001559255.2.fna,0.95749,0.8894039735099337,1
EHM015951.fna,GCA_023096345.1.fna,0.956145,0.7821192052980133,1
EHM015951.fna,GCA_030843585.1.fna,0.9570059999999999,0.856953642384106,1
EHM015951.fna,GCA_937943035.1.fna,0.956636,0.8741721854304636,1
EHM015951.fna,GCA_958410475.1.fna,0.9570489999999999,0.8490066225165563,1
EHM015951.fna,GCA_959018365.1.fna,0.957033,0.8549668874172185,1
EHM015951.fna,GCA_959028575.1.fna,0.957414,0.8695364238410596,1
EHM015951.fna,GCA_959599705.1.fna,0.9572849999999999,0.8801324503311259,1
EHM015951.fna,GCF_001559255.2.fna,0.95749,0.8894039735099337,1
EHM015951.fna,GCF_023096345.1.fna,0.956145,0.7821192052980133,1
EHM015951.fna,GCF_030843585.1.fna,0.9570059999999999,0.856953642384106,1
EHM015951.fna,GCF_937943035.1.fna,0.956636,0.8741721854304636,1
EHM015951.fna,GCF_958410475.1.fna,0.9570489999999999,0.8490066225165563,1
EHM015951.fna,GCF_959018365.1.fna,0.957033,0.8549668874172185,1
EHM015951.fna,GCF_959028575.1.fna,0.957414,0.8695364238410596,1
EHM015951.fna,GCF_959599705.1.fna,0.9572849999999999,0.8801324503311259,1
EHM019781.fna,EHM013411.fna,0.988311,0.8754740834386852,1
EHM019781.fna,EHM015951.fna,0.956786,0.8293299620733249,1
EHM019781.fna,EHM019781.fna,1.0,0.9943109987357776,1
EHM019781.fna,EHM025129.fna,0.988393,0.8729456384323641,1
EHM019781.fna,EHM034518.fna,0.989805,0.893173198482933,1
EHM019781.fna,EHM034582.fna,0.987297,0.8969658659924147,1
EHM019781.fna,EHM034613.fna,0.988523,0.8729456384323641,1
EHM019781.fna,EHM034663.fna,0.988515,0.8862199747155499,1
EHM019781.fna,EHM035016.fna,0.989443,0.8489254108723135,1
EHM019781.fna,EHM035261.fna,0.989277,0.8994943109987358,1
EHM019781.fna,EHM036445.fna,0.990359,0.8350189633375474,1
EHM019781.fna,EHM042511.fna,0.988954,0.8742098609355247,1
EHM019781.fna,EHM042896.fna,0.955106,0.770543615676359,1
EHM019781.fna,EHM045471.fna,0.988343,0.8881163084702908,1
EHM019781.fna,EHM045496.fna,0.987163,0.6548672566371682,1
EHM019781.fna,EHM051482.fna,0.9894240000000001,0.8470290771175727,1
EHM019781.fna,EHM052369.fna,0.989893,0.831858407079646,1
EHM019781.fna,EHM052762.fna,0.955619,0.8356510745891277,1
EHM019781.fna,EHM053163.fna,0.990603,0.8407079646017699,1
EHM019781.fna,EHM054246.fna,0.98983,0.8672566371681416,1
EHM019781.fna,EHM056851.fna,0.986649,0.7970922882427307,1
EHM019781.fna,EHM058631.fna,0.989493,0.8836915297092288,1
EHM019781.fna,EHM058684.fna,0.987876,0.7654867256637168,1
EHM019781.fna,EHM060603.fna,0.9892310000000001,0.8596713021491783,1
EHM019781.fna,EHM060845.fna,0.989975,0.8710493046776233,1
EHM019781.fna,EHM064053.fna,0.989493,0.8217446270543616,1
EHM019781.fna,EHM071561.fna,0.986648,0.7970922882427307,1
EHM019781.fna,GCA_001559255.2.fna,0.991155,0.8716814159292036,1
EHM019781.fna,GCA_023096345.1.fna,0.9881359999999999,0.7844500632111252,1
EHM019781.fna,GCA_030843585.1.fna,0.9889629999999999,0.8476611883691529,1
EHM019781.fna,GCA_937943035.1.fna,0.988216,0.8634639696586599,1
EHM019781.fna,GCA_958410475.1.fna,0.9891490000000001,0.8457648546144121,1
EHM019781.fna,GCA_959018365.1.fna,0.9908020000000001,0.843236409608091,1
EHM019781.fna,GCA_959028575.1.fna,0.989731,0.8729456384323641,1
EHM019781.fna,GCA_959599705.1.fna,0.9898779999999999,0.8621997471554994,1
