reference,querry,ani,alignment_coverage,primary_cluster
EHM013277.fna,EHM013277.fna,1.0,0.9986824769433466,1
EHM013277.fna,EHM015868.fna,0.98851,0.9025032938076416,1
EHM013277.fna,EHM016594.fna,0.989777,0.8511198945981555,1
EHM013277.fna,EHM017294.fna,0.985228,0.9117259552042161,1
EHM013277.fna,EHM019886.fna,0.989468,0.8998682476943346,1
EHM013277.fna,EHM020035.fna,0.989636,0.8208168642951251,1
EHM013277.fna,EHM025059.fna,0.988554,0.9025032938076416,1
EHM013277.fna,EHM025679.fna,0.999953,0.9881422924901185,1
EHM013277.fna,EHM027656.fna,0.9821810000000001,0.6521739130434783,1
EHM013277.fna,EHM028200.fna,0.981236,0.8010540184453228,1
EHM013277.fna,EHM028346.fna,0.98468,0.7523056653491436,1
EHM013277.fna,EHM028354.fna,0.9877589999999999,0.855072463768116,1
EHM013277.fna,EHM028422.fna,0.986887,0.8985507246376812,1
EHM013277.fna,EHM031001.fna,0.985933,0.857707509881423,1
EHM013277.fna,EHM031128.fna,0.986189,0.8708827404479579,1
EHM013277.fna,EHM031160.fna,0.986105,0.8669301712779973,1
EHM013277.fna,EHM031663.fna,0.985398,0.8787878787878788,1
EHM013277.fna,EHM034137.fna,0.987668,0.841897233201581,1
EHM013277.fna,EHM040253.fna,0.978946,0.8801054018445322,1
EHM013277.fna,EHM041306.fna,0.985913,0.8695652173913043,1
EHM013277.fna,EHM041731.fna,0.987341,0.9064558629776021,1
EHM013277.fna,EHM042508.fna,0.988933,0.8590250329380764,1
EHM013277.fna,EHM043079.fna,0.9872369999999999,0.8866930171277997,1
EHM013277.fna,EHM044953.fna,0.985981,0.9038208168642952,1
EHM013277.fna,EHM045744.fna,0.989595,0.782608695652174,1
EHM013277.fna,EHM045766.fna,0.986473,0.9038208168642952,1
EHM013277.fna,EHM045845.fna,0.988811,0.83399209486166,1
EHM013277.fna,EHM046343.fna,0.987277,0.8945981554677207,1
EHM013277.fna,EHM046444.fna,0.9793940000000001,0.8761528326745718,1
EHM013277.fna,EHM056391.fna,0.985742,0.7536231884057971,1
EHM013277.fna,EHM056528.fna,0.9891930000000001,0.8379446640316206,1
EHM013277.fna,EHM056720.fna,0.990622,0.8326745718050066,1
EHM013277.fna,EHM057270.fna,0.9863580000000001,0.919631093544137,1
EHM013277.fna,EHM057831.fna,0.986564,0.852437417654809,1
EHM013277.fna,EHM066565.fna,0.9855329999999999,0.852437417654809,1
EHM013277.fna,EHM066683.fna,0.991223,0.7549407114624506,1
