effect,component,term,estimate,std.error,statistic,p.value,species
fixed,cond,(Intercept),-1.4689296268361018,3.0004776973229075,-0.4895652542749154,0.624441568425758,akkermansia_muciniphila
fixed,cond,host_type_2domestic,-0.27325345048308364,0.3936250645638649,-0.694197283361128,0.4875584960572782,akkermansia_muciniphila
fixed,cond,host_type_2wild,-0.11673122648848323,0.39445783905611637,-0.2959282714923478,0.7672848599918398,akkermansia_muciniphila
fixed,cond,completeness,0.11888139298226831,0.02960487091733491,4.015602476843032,5.9294127183602834e-5,akkermansia_muciniphila
fixed,cond,(Intercept),13.742771925011155,3.4861879900370916,3.942062781549809,8.078382280757132e-5,bacteroides_fragilis
fixed,cond,host_type_2domestic,-0.5472343330528818,0.19711387475852896,-2.7762344671234436,0.0054992534476223055,bacteroides_fragilis
fixed,cond,host_type_2wild,-1.2559574613274902,0.31552401085118187,-3.980544802087558,6.875750387391349e-5,bacteroides_fragilis
fixed,cond,completeness,-0.023003953935933595,0.03474969040283301,-0.6619901837760883,0.5079775127303255,bacteroides_fragilis
fixed,cond,(Intercept),-0.09813235020753962,1.1823344438627863,-0.08299880860015628,0.9338524869460402,bacteroides_uniformis
fixed,cond,host_type_2domestic,0.022999304317128266,0.1750410134781811,0.131393802287343,0.8954637912177466,bacteroides_uniformis
fixed,cond,host_type_2wild,-0.7667075433807717,0.14494023497869354,-5.2898185482690785,1.2243776576860378e-7,bacteroides_uniformis
fixed,cond,completeness,0.06213544748151211,0.010944480568151121,5.677331792458818,1.3681194804403767e-8,bacteroides_uniformis
fixed,cond,(Intercept),-48.617521489292145,9.83088972483833,-4.945383668220494,7.599404194712536e-7,citrobacter_braakii
fixed,cond,host_type_2domestic,11.795457375974758,3.1730010996803597,3.71744509548484,2.0124770479525866e-4,citrobacter_braakii
fixed,cond,host_type_2wild,-0.8287582707936215,0.2449962505921239,-3.3827385880013314,7.176690937864717e-4,citrobacter_braakii
fixed,cond,completeness,0.5891661602044496,0.09915703479295745,5.941748474373445,2.819978844730289e-9,citrobacter_braakii
fixed,cond,(Intercept),-12.459173211584584,1.901049104751087,-6.553840813710028,5.6075743221707824e-11,enterococcus_faecalis
fixed,cond,host_type_2domestic,0.05836207837329239,0.11666141570366327,0.5002689022867718,0.6168857478394123,enterococcus_faecalis
fixed,cond,host_type_2wild,-0.366590848978182,0.10437264235474808,-3.5123269920885085,4.4420110570662783e-4,enterococcus_faecalis
fixed,cond,completeness,0.18898401696655107,0.018374016300534833,10.285395085942646,8.200506080692838e-25,enterococcus_faecalis
fixed,cond,(Intercept),1.5094639298913333,3.0007746065062935,0.5030247612128237,0.6149468633494053,enterococcus_hirae
fixed,cond,host_type_2domestic,0.574490725179387,0.19651314573296572,2.9234213468855703,0.0034620767946838063,enterococcus_hirae
fixed,cond,host_type_2wild,-0.6140564286554815,0.1885204629873774,-3.2572401898705095,0.0011250119361946897,enterococcus_hirae
fixed,cond,completeness,0.07660996639906888,0.029769280002933465,2.5734571474862586,0.010068811483984917,enterococcus_hirae
fixed,cond,(Intercept),-27.404299634774453,11.68592858863299,-2.3450682097639093,0.01902359900188039,hafnia_paralvei
fixed,cond,host_type_2wild,-0.7677439582576923,0.22284735904851305,-3.4451561891319393,5.707295047147324e-4,hafnia_paralvei
fixed,cond,completeness,0.378395738030289,0.11751240832447266,3.220049213743208,0.0012816859167001022,hafnia_paralvei
fixed,cond,(Intercept),-4.077760330696291,1.7656329295307542,-2.309517602721661,0.020914876034022045,lactococcus_lactis
fixed,cond,host_type_2domestic,-0.07864293144218923,0.33955571769224846,-0.2316053812219005,0.8168445275402795,lactococcus_lactis
fixed,cond,host_type_2wild,-0.5255945365281444,0.17830713543284718,-2.9476921114359453,0.00320155754652905,lactococcus_lactis
fixed,cond,completeness,0.12299175181443249,0.016285867011978362,7.552054288787404,4.284458115797876e-14,lactococcus_lactis
fixed,cond,(Intercept),-9.696132520657867,1.1913927363943344,-8.138485508987175,4.002529420279373e-16,parabacteroides_goldsteinii
fixed,cond,host_type_2domestic,1.1023012700580652,0.23476034810627083,4.6954320819079625,2.6604375624407198e-6,parabacteroides_goldsteinii
fixed,cond,host_type_2wild,-0.04180898342014309,0.1964879139459974,-0.212781450932569,0.8314974324508295,parabacteroides_goldsteinii
fixed,cond,completeness,0.15901726621777268,0.011965343079687062,13.289820873396266,2.652123514816118e-40,parabacteroides_goldsteinii
fixed,cond,(Intercept),-1.24916272785721,1.791781114955802,-0.697162570489545,0.48570106005197655,phocaeicola_vulgatus
fixed,cond,host_type_2domestic,0.3493294518554526,0.19182875455308995,1.8210484276421304,0.0685994957263774,phocaeicola_vulgatus
fixed,cond,host_type_2wild,-1.0060494081803302,0.17506094962023352,-5.746852226968905,9.092012189794822e-9,phocaeicola_vulgatus
fixed,cond,completeness,0.08858158023683643,0.015361856247576959,5.766333105142062,8.101485874606515e-9,phocaeicola_vulgatus
