contrast,odds.ratio,SE,df,null,z.ratio,p.value
human / domestic,1.1382460849853777,0.08203149715524469,Inf,1,1.7967469412852843,0.17063835700008534
human / wild,1.583275520268223,0.10041488319218729,Inf,1,7.245026362025417,1.3188339309522235e-12
domestic / wild,1.3909782261966332,0.10237471110874341,Inf,1,4.483850625246746,2.1836215452375463e-5
