effect,term,estimate,std.error,statistic,p.value
fixed,(Intercept),0.19205551241958843,0.2135775624933775,0.8992307533500556,0.36852976276805616
fixed,host_type_2domestic,-0.1294885557235471,0.07206833235565092,-1.7967469412852843,0.07237580312308851
fixed,host_type_2wild,-0.459495815196999,0.06342224199561677,-7.245026362025417,4.323551023447997e-13
fixed,completeness,0.017494615569526913,0.0021939182362776923,7.9741420077756056,1.5344302964086162e-15
